module,level_1,level_2,level_3,total
IS3107,0,0,0,0
MA1521,2,3,0,5
IFS4101,0,0,0,0
IS2102,0,0,0,0
IS3103,8,0,0,8
CP4101,0,0,0,0
IS4262,0,0,0,0
CS2030,3,11,4,18
IS4236,0,0,0,0
IS3251,0,0,0,0
IS4152,0,0,0,0
IS4238,0,0,0,0
IS2101,4,8,0,12
IS4234,0,0,0,0
IS4303,0,0,0,0
CS3243,0,0,0,0
CP3880,0,0,0,0
IS4242,0,0,0,0
ST2334,2,1,0,3
CS2107,3,0,0,3
IS4246,0,0,0,0
IS3150,0,0,0,0
IS4100,0,0,0,0
CS3240,0,0,0,0
BT2102,5,10,0,15
IS4248,0,0,0,0
IS4261,0,0,0,0
CS2040,2,5,0,7
IS3240,0,0,0,0
IS4228,0,0,0,0
IS4302,0,0,0,0
BT4014,0,0,0,0
IS3221,0,0,0,0
IS4103,0,0,0,0
IS4010,0,0,0,0
IS4301,0,0,0,0
IS2103,4,9,0,13
CS1010J,8,14,20,42
BT1101,5,6,10,21
IS4231,0,0,0,0
IS1108,9,7,0,16
BT3017,0,0,0,0
IS4151,0,0,0,0
IS3106,10,0,0,10
IS4233,0,0,0,0
IS4243,0,0,0,0
CS2105,0,0,0,0
IS4241,0,0,0,0
IS4226,0,0,0,0
IS4250,0,0,0,0
