module_code,module_title,relevance_score,breadth_score,max_similarity,num_matching_jobs,module,level_1,level_2,level_3,level_4,total,transferability_category
DSA1101,Introduction to Data Science,0.3300500653547409,32,0.6476158825810309,32,DSA1101,4,1,5,0,10,Moderately Transferable
CS1010S,Programming Methodology,0.26906562286479413,1,0.5618216159099731,1,CS1010S,3,6,13,0,22,Highly Transferable
DSA2101,Essential Data Analytics Tools: Data Visualisation,0.2646525446617649,11,0.5675330932173175,11,DSA2101,4,5,0,0,9,Moderately Transferable
DSA2102,Essential Data Analytics Tools: Numerical Computation,0.16217274289436326,0,0.4864940246880934,0,DSA2102,11,0,0,0,11,Moderately Transferable
MA2001,Linear Algebra I,0.12692156093379484,0,0.3399331681414156,0,MA2001,11,17,2,0,30,Highly Transferable
MA2002,Calculus,0.12522680700381478,0,0.3241225135756398,0,MA2002,9,26,9,0,44,Highly Transferable
MA2104,Multivariable Calculus,0.08703248020302258,0,0.38591828076051127,0,MA2104,6,12,19,0,37,Highly Transferable
MA2311,Techniques in Advanced Calculus,0.1394560369339349,0,0.4237335092349521,0,MA2311,6,12,19,0,37,Highly Transferable
ST2131,Probability,0.1709802153845478,0,0.4345751221384379,0,ST2131,16,18,0,2,36,Highly Transferable
MA2116,Probability,0.1709802153845478,0,0.4345751221384379,0,MA2116,16,18,2,0,36,Highly Transferable
ST2132,Mathematical Statistics,0.17441022666498318,0,0.417485281421714,0,ST2132,9,5,0,2,16,Moderately Transferable
DSA3101,Data Science in Practice,0.3295391302567358,17,0.5745977016355341,17,DSA3101,8,0,0,0,8,Moderately Transferable
DSA3102,Essential Data Analytics Tools: Convex Optimisation,0.07720717072324455,0,0.3379682671871416,0,DSA3102,4,0,0,0,4,Specialized
ST3131,Regression Analysis,0.2243112013403204,0,0.47863830204083263,0,ST3131,5,0,2,2,9,Moderately Transferable
DSA4211,High-Dimensional Statistical Analysis,0.1294882547440923,0,0.4137113989068154,0,DSA4211,0,0,0,0,0,Terminal/Capstone
DSE4211,Digital Currencies,0.15735132887216363,2,0.5643391267496477,2,DSE4211,0,0,0,0,0,Terminal/Capstone
QF4211,Digital Currencies,0.15735132887216363,2,0.5643391267496477,2,QF4211,0,0,0,0,0,Terminal/Capstone
DSE4212,Data Science in FinTech,0.26376339364666673,13,0.5596892611152702,13,DSE4212,0,0,0,0,0,Terminal/Capstone
QF4212,Data Science in FinTech,0.26376339364666673,13,0.5596892611152702,13,QF4212,0,0,0,0,0,Terminal/Capstone
DSA4213,Natural Language Processing for Data Science,0.23448297570560314,8,0.6331839266593681,8,DSA4213,0,0,0,0,0,Terminal/Capstone
DSA4262,Sense-making Case Analysis: Health and Medicine,0.327741708391586,34,0.6534209430257464,34,DSA4262,0,0,0,0,0,Terminal/Capstone
DSA4263,Sense-making Case Analysis: Business and Commerce,0.3624044930806752,55,0.6651217130666485,55,DSA4263,0,0,0,0,0,Terminal/Capstone
DSA4264,Sense-making Case Analysis: Public Policy and Society,0.32005392951444367,28,0.6273978178595752,28,DSA4264,0,0,0,0,0,Terminal/Capstone
DSA4265,Sense-making Case Analysis: Economics and Finance,0.33168813105752437,40,0.6646887710507488,40,DSA4265,0,0,0,0,0,Terminal/Capstone
DSA4266,Sense-making Case Analysis: Science and Technology,0.3421197863789685,36,0.6488147867988037,36,DSA4266,0,0,0,0,0,Terminal/Capstone
DSA4288,Honours Project in Data Science and Analytics,0.33773985079402036,22,0.5989347495739007,22,DSA4288,0,0,0,0,0,Terminal/Capstone
DSA4288M,Honours Project in DSA (Operations Research),0.33773985079402036,22,0.5989347495739007,22,DSA4288M,0,0,0,0,0,Terminal/Capstone
DSA4288S,Honours Project in DSA (Statistical Methodology),0.33773985079402036,22,0.5989347495739007,22,DSA4288S,0,0,0,0,0,Terminal/Capstone
DSA3288,Advanced UROPS in Data Science and Analytics I,0.3230394564460436,6,0.5610720849953708,6,DSA3288,0,0,0,0,0,Terminal/Capstone
MA3252,Linear and Network Optimisation,0.181523562331927,0,0.36039798811914825,0,MA3252,1,0,2,0,3,Specialized
MA3227,Numerical Analysis II,0.08009816406469103,1,0.5298119409182619,1,MA3227,0,0,2,0,2,Specialized
MA3238,Stochastic Processes I,0.07401796953904434,0,0.47039830456712356,0,MA3238,2,0,2,0,4,Specialized
ST3236,Stochastic Processes I,0.07401796953904434,0,0.47039830456712356,0,ST3236,2,0,0,2,4,Specialized
MA4230,Matrix Computation,0.08973820786617892,0,0.39216484500609505,0,MA4230,0,0,2,0,2,Specialized
MA4251,Stochastic Processes II,0.16551356970922493,0,0.450904773493803,0,MA4251,0,0,2,0,2,Specialized
ST4238,Stochastic Processes II,0.16551356970922493,0,0.450904773493803,0,ST4238,0,0,0,2,2,Specialized
MA4260,Stochastic Operations Research,0.1965705872878781,6,0.5932761594281519,6,MA4260,0,0,2,0,2,Specialized
MA4268,Mathematics for Visual Data Processing,0.07861077409485846,0,0.3985443542725993,0,MA4268,0,0,2,0,2,Specialized
MA4270,Data Modelling and Computation,0.10451049777799352,0,0.4251384309405607,0,MA4270,0,0,2,0,2,Specialized
ST3232,Design & Analysis of Experiments,0.10159184473586823,0,0.3480734877366808,0,ST3232,0,0,0,2,2,Specialized
ST3239,Survey Methodology,0.1778177835705273,2,0.5416230497606009,2,ST3239,0,0,0,2,2,Specialized
ST3247,Simulation,0.16284345676982928,0,0.4630347099027161,0,ST3247,0,0,0,2,2,Specialized
ST3248,Statistical Learning I,0.2087369475394415,0,0.4496919620124965,0,ST3248,0,0,0,2,2,Specialized
ST4231,Computer Intensive Statistical Methods,0.15156496566602454,0,0.33537527653763805,0,ST4231,0,0,0,2,2,Specialized
ST4234,Bayesian Statistics,0.1928075150170123,0,0.4173482354228224,0,ST4234,0,0,0,2,2,Specialized
ST4248,Statistical Learning II,0.17927561409769774,0,0.4816020819731373,0,ST4248,0,0,0,2,2,Specialized
ST4250,Multivariate Statistical Analysis,0.15222880013614018,0,0.3789669153436933,0,ST4250,0,0,0,2,2,Specialized
ST4253,Applied Time Series Analysis,0.22541760244112108,0,0.4969709030631416,0,ST4253,0,0,0,2,2,Specialized
